subject,level,category
Arabic,Beginner,Languages
Arabic,Intermediate,Languages
Arabic,Advanced,Languages
Bulgarian,Beginner,Languages
Bulgarian,Intermediate,Languages
Bulgarian,Advanced,Languages
Cantonese,Beginner,Languages
Cantonese,Intermediate,Languages
Cantonese,Advanced,Languages
Croatian,Beginner,Languages
Croatian,Intermediate,Languages
Croatian,Advanced,Languages
Czech,Beginner,Languages
Czech,Intermediate,Languages
Czech,Advanced,Languages
Danish,Beginner,Languages
Danish,Intermediate,Languages
Danish,Advanced,Languages
Dutch,Beginner,Languages
Dutch,Intermediate,Languages
Dutch,Advanced,Languages
English as a Foreign Language EFL,Beginner,Languages
English as a Foreign Language EFL,Intermediate,Languages
English as a Foreign Language EFL,Advanced,Languages
Estonian,Beginner,Languages
Estonian,Intermediate,Languages
Estonian,Advanced,Languages
Farsi,Beginner,Languages
Farsi,Intermediate,Languages
Farsi,Advanced,Languages
Finnish,Beginner,Languages
Finnish,Intermediate,Languages
Finnish,Advanced,Languages
French,Beginner,Languages
French,Intermediate,Languages
French,Advanced,Languages
Gaelic,Beginner,Languages
Gaelic,Intermediate,Languages
Gaelic,Advanced,Languages
German,Beginner,Languages
German,Intermediate,Languages
German,Advanced,Languages
Greek Classical,Beginner,Languages
Greek Classical,Intermediate,Languages
Greek Classical,Advanced,Languages
Greek Modern,Beginner,Languages
Greek Modern,Intermediate,Languages
Greek Modern,Advanced,Languages
Gujarati,Beginner,Languages
Gujarati,Intermediate,Languages
Gujarati,Advanced,Languages
Hebrew,Beginner,Languages
Hebrew,Intermediate,Languages
Hebrew,Advanced,Languages
Hindi,Beginner,Languages
Hindi,Intermediate,Languages
Hindi,Advanced,Languages
Hungarian,Beginner,Languages
Hungarian,Intermediate,Languages
Hungarian,Advanced,Languages
IELTS and ESOL,Beginner,Languages
IELTS and ESOL,Intermediate,Languages
IELTS and ESOL,Advanced,Languages
Irish,Beginner,Languages
Irish,Intermediate,Languages
Irish,Advanced,Languages
Italian,Beginner,Languages
Italian,Intermediate,Languages
Italian,Advanced,Languages
Japanese,Beginner,Languages
Japanese,Intermediate,Languages
Japanese,Advanced,Languages
Kashmiri,Beginner,Languages
Kashmiri,Intermediate,Languages
Kashmiri,Advanced,Languages
Korean,Beginner,Languages
Korean,Intermediate,Languages
Korean,Advanced,Languages
Languages,Beginner,Languages
Languages,Intermediate,Languages
Languages,Advanced,Languages
Latin,Beginner,Languages
Latin,Intermediate,Languages
Latin,Advanced,Languages
Lithuanian,Beginner,Languages
Lithuanian,Intermediate,Languages
Lithuanian,Advanced,Languages
Malay,Beginner,Languages
Malay,Intermediate,Languages
Malay,Advanced,Languages
Mandarin,Beginner,Languages
Mandarin,Intermediate,Languages
Mandarin,Advanced,Languages
Norwegian,Beginner,Languages
Norwegian,Intermediate,Languages
Norwegian,Advanced,Languages
Persian,Beginner,Languages
Persian,Intermediate,Languages
Persian,Advanced,Languages
Polish,Beginner,Languages
Polish,Intermediate,Languages
Polish,Advanced,Languages
Portuguese,Beginner,Languages
Portuguese,Intermediate,Languages
Portuguese,Advanced,Languages
Punjabi,Beginner,Languages
Punjabi,Intermediate,Languages
Punjabi,Advanced,Languages
Romanian,Beginner,Languages
Romanian,Intermediate,Languages
Romanian,Advanced,Languages
